Winkel;25kV;30kV;35kV
3.0;39.0;122.0;315.0    
3.1;40.0;121.0;304.0
3.2;39.0;120.0;281.0
3.3;33.0;96.0;242.0
3.4;29.0;102.0;229.0
3.5;27.0;65.0;195.0
3.6;21.0;63.0;164.0
3.7;19.0;53.0;128.0
3.8;10.0;53.0;131.0
3.9;13.0;39.0;123.0
4.0;11.0;38.0;94.0
4.1;8.0;35.0;87.0
4.2;9.0;32.0;81.0
4.3;6.0;26.0;68.0
4.4;10.0;24.0;64.0
4.5;6.0;28.0;56.0
4.6;5.0;22.0;54.0
4.7;9.0;19.0;56.0
4.8;8.0;27.0;51.0
4.9;10.0;21.0;62.0
5.0;7.0;23.0;62.0
5.1;4.0;20.0;61.0
5.2;8.0;23.0;65.0
5.3;4.0;26.0;81.0
5.4;5.0;31.0;89.0
5.5;6.0;23.0;92.0
5.6;8.0;28.0;116.0
5.7;8.0;21.0;117.0
5.8;8.0;26.0;124.0
5.9;7.0;40.0;118.0
6.0;6.0;36.0;148.0
6.1;13.0;35.0;156.0
6.2;9.0;44.0;166.0
6.3;10.0;57.0;156.0
6.4;9.0;66.0;178.0
6.5;8.0;70.0;185.0
6.6;11.0;75.0;180.0
6.7;12.0;82.0;171.0
6.8;13.0;86.0;183.0
6.9;12.0;92.0;194.0
7.0;15.0;91.0;191.0
7.1;14.0;101.0;202.0
7.2;18.0;118.0;188.0
7.3;24.0;101.0;194.0
7.4;26.0;114.0;209.0
7.5;33.0;127.0;191.0
7.6;32.0;121.0;208.0
7.7;41.0;139.0;226.0
7.8;44.0;122.0;220.0
7.9;53.0;139.0;206.0
8.0;54.0;149.0;230.0
8.1;55.0;138.0;232.0
8.2;65.0;144.0;227.0
8.3;63.0;167.0;239.0
8.4;70.0;141.0;243.0
8.5;70.0;154.0;253.0
8.6;69.0;158.0;229.0
8.7;83.0;149.0;237.0
8.8;86.0;162.0;258.0
8.9;99.0;176.0;281.0
9.0;106.0;202.0;377.0
9.1;134.0;281.0;452.0
9.2;161.0;334.0;579.0
9.3;159.0;351.0;622.0
9.4;148.0;300.0;519.0
9.5;122.0;227.0;331.0
9.6;108.0;186.0;290.0
9.7;100.0;193.0;301.0
9.8;105.0;200.0;278.0
9.9;116.0;198.0;284.0
10.0;144.0;241.0;414.0
10.1;169.0;334.0;541.0
10.2;202.0;486.0;835.0
10.3;382.0;969.0;1700.0
10.4;474.0;1216.0;2089.0
10.5;398.0;991.0;1746.0
10.6;236.0;502.0;855.0
10.7;138.0;241.0;377.0
10.8;116.0;215.0;302.0
10.9;130.0;205.0;300.0
11.0;134.0;214.0;311.0
11.1;128.0;225.0;318.0
11.2;129.0;206.0;313.0
11.3;136.0;212.0;305.0
11.4;153.0;218.0;300.0
11.5;139.0;226.0;302.0
11.6;130.0;215.0;314.0
11.7;143.0;211.0;293.0
11.8;151.0;207.0;318.0
11.9;145.0;210.0;305.0
12.0;150.0;218.0;322.0
12.1;155.0;212.0;307.0
12.2;148.0;211.0;310.0
12.3;146.0;219.0;285.0
12.4;137.0;210.0;313.0
12.5;154.0;238.0;307.0
12.6;156.0;225.0;323.0
12.7;144.0;223.0;322.0
12.8;159.0;221.0;337.0
12.9;155.0;232.0;318.0
13.0;158.0;234.0;341.0
13.1;163.0;241.0;292.0
13.2;172.0;247.0;311.0
13.3;151.0;219.0;306.0
13.4;159.0;215.0;334.0
13.5;137.0;200.0;276.0
13.6;125.0;182.0;259.0
13.7;123.0;181.0;262.0
13.8;120.0;192.0;269.0
13.9;139.0;177.0;265.0
14.0;141.0;187.0;264.0
14.1;134.0;185.0;249.0
14.2;139.0;187.0;268.0
14.3;129.0;191.0;268.0
14.4;130.0;189.0;260.0
14.5;125.0;179.0;237.0
14.6;128.0;191.0;231.0
14.7;124.0;193.0;249.0
14.8;146.0;201.0;247.0
14.9;135.0;190.0;261.0
15.0;136.0;190.0;235.0
15.1;117.0;191.0;232.0
15.2;128.0;184.0;231.0
15.3;129.0;182.0;237.0
15.4;138.0;186.0;222.0
15.5;124.0;199.0;254.0
15.6;127.0;165.0;243.0
15.7;129.0;184.0;235.0
15.8;125.0;200.0;259.0
15.9;132.0;177.0;248.0
16.0;138.0;172.0;241.0
16.1;120.0;164.0;232.0
16.2;128.0;189.0;230.0
16.3;132.0;170.0;211.0
16.4;126.0;168.0;228.0
16.5;125.0;150.0;217.0
16.6;126.0;181.0;238.0
16.7;123.0;172.0;221.0
16.8;114.0;167.0;219.0
16.9;125.0;157.0;232.0
17.0;119.0;147.0;196.0
17.1;115.0;166.0;235.0
17.2;110.0;163.0;204.0
17.3;107.0;166.0;222.0
17.4;114.0;181.0;215.0
17.5;123.0;155.0;222.0
17.6;118.0;164.0;190.0
17.7;123.0;162.0;212.0
17.8;107.0;143.0;200.0
17.9;125.0;151.0;172.0
18.0;114.0;164.0;204.0
18.1;113.0;161.0;201.0
18.2;107.0;164.0;222.0
18.3;115.0;161.0;210.0
18.4;118.0;174.0;241.0
18.5;130.0;169.0;258.0
18.6;114.0;173.0;235.0
18.7;112.0;154.0;214.0
18.8;122.0;148.0;205.0
18.9;107.0;147.0;208.0
19.0;103.0;156.0;190.0
19.1;101.0;146.0;170.0
19.2;90.0;139.0;180.0
19.3;95.0;129.0;161.0
19.4;102.0;133.0;173.0
19.5;87.0;132.0;166.0
19.6;91.0;144.0;185.0
19.7;86.0;138.0;164.0
19.8;90.0;129.0;141.0
19.9;96.0;118.0;148.0
20.0;92.0;115.0;138.0
20.1;94.0;131.0;154.0
20.2;96.0;129.0;159.0
20.3;96.0;116.0;151.0
20.4;83.0;119.0;160.0
20.5;98.0;158.0;208.0
20.6;94.0;177.0;267.0
20.7;126.0;237.0;380.0
20.8;142.0;285.0;460.0
20.9;125.0;334.0;474.0
21.0;107.0;229.0;369.0
21.1;89.0;144.0;212.0
21.2;71.0;111.0;166.0
21.3;85.0;110.0;148.0
21.4;82.0;101.0;120.0
21.5;72.0;110.0;131.0
21.6;82.0;102.0;133.0
21.7;79.0;105.0;131.0
21.8;74.0;91.0;131.0
21.9;68.0;104.0;117.0
22.0;63.0;86.0;124.0
22.1;67.0;96.0;117.0
